ACACIA_BOAT	Acacia Boat	Bateau en acacia
STRIPPED_WARPED_STEM	Stripped Warped Stem	Tige biscornue dénudée
STRUCTURE_BLOCK	Structure Block	Bloc de structure
STRUCTURE_VOID	Structure Void	Vide de structure
SUGAR	Sugar	Sucre
SUGAR_CANE	Sugar Cane	Canne à sucre
SULFUR	Sulfur	Soufre
SULFUR_BRICKS	Sulfur Bricks	Briques de soufre
SULFUR_BRICK_SLAB	Sulfur Brick Slab	Dalle en briques de soufre
SULFUR_BRICK_STAIRS	Sulfur Brick Stairs	Escalier en briques de soufre
SULFUR_BRICK_WALL	Sulfur Brick Wall	Muret en briques de soufre
SULFUR_CUBE_BUCKET	Bucket of Sulfur Cube	Seau de cube de soufre
SULFUR_CUBE_SPAWN_EGG	Sulfur Cube Spawn Egg	Oeuf d'invocation de cube de soufre
SULFUR_SLAB	Sulfur Slab	Dalle de soufre
SULFUR_SPIKE	Sulfur Spike	Pique de soufre
SULFUR_STAIRS	Sulfur Stairs	Escalier de soufre
SULFUR_WALL	Sulfur Wall	Muret de soufre
SUNFLOWER	Sunflower	Tournesol
SUSPICIOUS_GRAVEL	Suspicious Gravel	Gravier suspect
SUSPICIOUS_SAND	Suspicious Sand	Sable suspect
SUSPICIOUS_STEW	Suspicious Stew	Soupe suspecte
SWEET_BERRIES	Sweet Berries	Baies sucrées
SWEET_BERRY_BUSH	Sweet Berry Bush	Buisson à baies sucrées
TADPOLE_BUCKET	Bucket of Tadpole	Têtard dans un seau
TADPOLE_SPAWN_EGG	Tadpole Spawn Egg	Oeuf d'apparition de têtard
TALL_DRY_GRASS	Tall Dry Grass	Hautes herbes sèches
TALL_GRASS	Tall Grass	Hautes herbes
TALL_SEAGRASS	Tall Seagrass	Hautes herbes aquatiques
TARGET	Target	Cible
TERRACOTTA	Terracotta	Terre cuite
TEST_BLOCK	Test Block	Bloc de test
TEST_INSTANCE_BLOCK	Test Instance Block	Bloc d'instance de test
TIDE_ARMOR_TRIM_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
TINTED_GLASS	Tinted Glass	Verre teinté
TIPPED_ARROW	Tipped Arrow	Flèche à effet
TNT	TNT	TNT
TNT_MINECART	Minecart with TNT	Wagonnet à TNT
TORCH	Torch	Torche
TORCHFLOWER	Torchflower	Torche-fleur
TORCHFLOWER_CROP	Torchflower Crop	Plant de torche-fleur
TORCHFLOWER_SEEDS	Torchflower Seeds	Graines de torche-fleur
TOTEM_OF_UNDYING	Totem of Undying	Totem d'immortalité
TRADER_LLAMA_SPAWN_EGG	Trader Llama Spawn Egg	Oeuf d'apparition de lama de marchand
TRAPPED_CHEST	Trapped Chest	Coffre piégé
TRIAL_KEY	Trial Key	Clé des épreuves
TRIAL_SPAWNER	Trial Spawner	Générateur des épreuves
TRIDENT	Trident	Trident
TRIPWIRE	Tripwire	Fil de déclenchement
TRIPWIRE_HOOK	Tripwire Hook	Crochet
TROPICAL_FISH	Tropical Fish	Poisson tropical
TROPICAL_FISH_BUCKET	Bucket of Tropical Fish	Poisson tropical dans un seau
TROPICAL_FISH_SPAWN_EGG	Tropical Fish Spawn Egg	Oeuf d'apparition de poisson tropical
TUBE_CORAL	Tube Coral	Corail tubulaire
TUBE_CORAL_BLOCK	Tube Coral Block	Bloc de corail tubulaire
TUBE_CORAL_FAN	Tube Coral Fan	Gorgone de corail tubulaire
TUBE_CORAL_WALL_FAN	Tube Coral Wall Fan	Gorgone de corail tubulaire murale
TUFF	Tuff	Tuf
TUFF_BRICKS	Tuff Bricks	Tuf taillé
TUFF_BRICK_SLAB	Tuff Brick Slab	Dalle de tuf taillé
TUFF_BRICK_STAIRS	Tuff Brick Stairs	Escalier en tuf taillé
TUFF_BRICK_WALL	Tuff Brick Wall	Muret de tuf taillé
TUFF_SLAB	Tuff Slab	Dalle de tuf
TUFF_STAIRS	Tuff Stairs	Escalier en tuf
TUFF_WALL	Tuff Wall	Muret de tuf
TURTLE_EGG	Turtle Egg	Oeuf de tortue
TURTLE_HELMET	Turtle Shell	Carapace de tortue
TURTLE_SCUTE	Turtle Scute	Écaille de tortue
TURTLE_SPAWN_EGG	Turtle Spawn Egg	Oeuf d'apparition de tortue
TWISTING_VINES	Twisting Vines	Lianes tortueuses
TWISTING_VINES_PLANT	Twisting Vines Plant	Plante de lianes tortueuses
VAULT	Vault	Coffre-fort
VERDANT_FROGLIGHT	Verdant Froglight	Grelampe verdoyante
VEX_ARMOR_TRIM_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
VEX_SPAWN_EGG	Vex Spawn Egg	Oeuf d'apparition de Vex
VILLAGER_SPAWN_EGG	Villager Spawn Egg	Oeuf d'apparition de villageois
VINDICATOR_SPAWN_EGG	Vindicator Spawn Egg	Oeuf d'apparition de vindicateur
VINE	Vines	Lianes
VOID_AIR	Void Air	Air du vide
WALL_TORCH	Wall Torch	Torche murale
WANDERING_TRADER_SPAWN_EGG	Wandering Trader Spawn Egg	Oeuf d'apparition de marchand ambulant
WARDEN_SPAWN_EGG	Warden Spawn Egg	Oeuf d'apparition de Warden
WARD_ARMOR_TRIM_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
WARPED_BUTTON	Warped Button	Bouton biscornu
WARPED_DOOR	Warped Door	Porte biscornue
WARPED_FENCE	Warped Fence	Barrière biscornue
WARPED_FENCE_GATE	Warped Fence Gate	Portillon biscornu
WARPED_FUNGUS	Warped Fungus	Champignon biscornu
WARPED_FUNGUS_ON_A_STICK	Warped Fungus on a Stick	Champignon biscornu sur un bâton
WARPED_HANGING_SIGN	Warped Hanging Sign	Pancarte suspendue biscornue
WARPED_HYPHAE	Warped Hyphae	Hyphes biscornues
WARPED_NYLIUM	Warped Nylium	Nylium biscornu
WARPED_PLANKS	Warped Planks	Planches biscornues
WARPED_PRESSURE_PLATE	Warped Pressure Plate	Plaque de pression biscornue
WARPED_ROOTS	Warped Roots	Racines biscornues
WARPED_SHELF	Warped Shelf	Étagère biscornue
WARPED_SIGN	Warped Sign	Pancarte biscornue
WARPED_SLAB	Warped Slab	Dalle biscornue
WARPED_STAIRS	Warped Stairs	Escalier biscornu
WARPED_STEM	Warped Stem	Tige biscornue
WARPED_TRAPDOOR	Warped Trapdoor	Trappe biscornue
WARPED_WALL_HANGING_SIGN	Warped Wall Hanging Sign	Pancarte suspendue biscornue murale
WARPED_WALL_SIGN	Warped Wall Sign	Pancarte biscornue murale
WARPED_WART_BLOCK	Warped Wart Block	Bloc de verrues biscornues
WATER	Water	Eau
WATER_BUCKET	Water Bucket	Seau d'eau
WATER_CAULDRON	Water Cauldron	Chaudron d'eau
WAXED_CHISELED_COPPER	Waxed Chiseled Copper	Cuivre sculpté ciré
WAXED_COPPER_BARS	Waxed Copper Bars	Barreaux de cuivre ciré
WAXED_COPPER_BLOCK	Waxed Block of Copper	Bloc de cuivre ciré
WAXED_COPPER_BULB	Waxed Copper Bulb	Ampoule en cuivre ciré
WAXED_COPPER_CHAIN	Waxed Copper Chain	Chaîne en cuivre ciré
WAXED_COPPER_CHEST	Waxed Copper Chest	Coffre en cuivre ciré
WAXED_COPPER_DOOR	Waxed Copper Door	Porte en cuivre ciré
WAXED_COPPER_GOLEM_STATUE	Waxed Copper Golem Statue	Statue de golem de cuivre ciré
WAXED_COPPER_GRATE	Waxed Copper Grate	Grille en cuivre ciré
WAXED_COPPER_LANTERN	Waxed Copper Lantern	Lanterne en cuivre ciré
WAXED_COPPER_TRAPDOOR	Waxed Copper Trapdoor	Trappe en cuivre ciré
WAXED_CUT_COPPER	Waxed Cut Copper	Cuivre taillé ciré
WAXED_CUT_COPPER_SLAB	Waxed Cut Copper Slab	Dalle de cuivre taillé ciré
WAXED_CUT_COPPER_STAIRS	Waxed Cut Copper Stairs	Escalier en cuivre taillé ciré
WAXED_EXPOSED_CHISELED_COPPER	Waxed Exposed Chiseled Copper	Cuivre sculpté exposé ciré
WAXED_EXPOSED_COPPER	Waxed Exposed Copper	Cuivre exposé ciré
WAXED_EXPOSED_COPPER_BARS	Waxed Exposed Copper Bars	Barreaux de cuivre exposé ciré
WAXED_EXPOSED_COPPER_BULB	Waxed Exposed Copper Bulb	Ampoule en cuivre exposé ciré
WAXED_EXPOSED_COPPER_CHAIN	Waxed Exposed Copper Chain	Chaîne en cuivre exposé ciré
WAXED_EXPOSED_COPPER_CHEST	Waxed Exposed Copper Chest	Coffre en cuivre exposé ciré
WAXED_EXPOSED_COPPER_DOOR	Waxed Exposed Copper Door	Porte en cuivre exposé ciré
WAXED_EXPOSED_COPPER_GOLEM_STATUE	Waxed Exposed Copper Golem Statue	Statue de golem de cuivre exposé ciré
WAXED_EXPOSED_COPPER_GRATE	Waxed Exposed Copper Grate	Grille en cuivre exposé ciré
WAXED_EXPOSED_COPPER_LANTERN	Waxed Exposed Copper Lantern	Lanterne en cuivre exposé ciré
WAXED_EXPOSED_COPPER_TRAPDOOR	Waxed Exposed Copper Trapdoor	Trappe en cuivre exposé ciré
WAXED_EXPOSED_CUT_COPPER	Waxed Exposed Cut Copper	Cuivre taillé exposé ciré
WAXED_EXPOSED_CUT_COPPER_SLAB	Waxed Exposed Cut Copper Slab	Dalle de cuivre taillé exposé ciré
WAXED_EXPOSED_CUT_COPPER_STAIRS	Waxed Exposed Cut Copper Stairs	Escalier en cuivre taillé exposé ciré
WAXED_EXPOSED_LIGHTNING_ROD	Waxed Exposed Lightning Rod	Paratonnerre exposé ciré
WAXED_LIGHTNING_ROD	Waxed Lightning Rod	Paratonnerre ciré
WAXED_OXIDIZED_CHISELED_COPPER	Waxed Oxidized Chiseled Copper	Cuivre sculpté oxydé ciré
WAXED_OXIDIZED_COPPER	Waxed Oxidized Copper	Cuivre oxydé ciré
WAXED_OXIDIZED_COPPER_BARS	Waxed Oxidized Copper Bars	Barreaux de cuivre oxydé ciré
WAXED_OXIDIZED_COPPER_BULB	Waxed Oxidized Copper Bulb	Ampoule en cuivre oxydé ciré
WAXED_OXIDIZED_COPPER_CHAIN	Waxed Oxidized Copper Chain	Chaîne en cuivre oxydé ciré
WAXED_OXIDIZED_COPPER_CHEST	Waxed Oxidized Copper Chest	Coffre en cuivre oxydé ciré
WAXED_OXIDIZED_COPPER_DOOR	Waxed Oxidized Copper Door	Porte en cuivre oxydé ciré
WAXED_OXIDIZED_COPPER_GOLEM_STATUE	Waxed Oxidized Copper Golem Statue	Statue de golem de cuivre oxydé ciré
WAXED_OXIDIZED_COPPER_GRATE	Waxed Oxidized Copper Grate	Grille en cuivre oxydé ciré
WAXED_OXIDIZED_COPPER_LANTERN	Waxed Oxidized Copper Lantern	Lanterne en cuivre oxydé ciré
WAXED_OXIDIZED_COPPER_TRAPDOOR	Waxed Oxidized Copper Trapdoor	Trappe en cuivre oxydé ciré
WAXED_OXIDIZED_CUT_COPPER	Waxed Oxidized Cut Copper	Cuivre taillé oxydé ciré
WAXED_OXIDIZED_CUT_COPPER_SLAB	Waxed Oxidized Cut Copper Slab	Dalle de cuivre taillé oxydé ciré
WAXED_OXIDIZED_CUT_COPPER_STAIRS	Waxed Oxidized Cut Copper Stairs	Escalier en cuivre taillé oxydé ciré
WAXED_OXIDIZED_LIGHTNING_ROD	Waxed Oxidized Lightning Rod	Paratonnerre oxydé ciré
WAXED_WEATHERED_CHISELED_COPPER	Waxed Weathered Chiseled Copper	Cuivre sculpté érodé ciré
WAXED_WEATHERED_COPPER	Waxed Weathered Copper	Cuivre érodé ciré
WAXED_WEATHERED_COPPER_BARS	Waxed Weathered Copper Bars	Barreaux de cuivre érodé ciré
WAXED_WEATHERED_COPPER_BULB	Waxed Weathered Copper Bulb	Ampoule en cuivre érodé ciré
WAXED_WEATHERED_COPPER_CHAIN	Waxed Weathered Copper Chain	Chaîne en cuivre érodé ciré
WAXED_WEATHERED_COPPER_CHEST	Waxed Weathered Copper Chest	Coffre en cuivre érodé ciré
WAXED_WEATHERED_COPPER_DOOR	Waxed Weathered Copper Door	Porte en cuivre érodé ciré
WAXED_WEATHERED_COPPER_GOLEM_STATUE	Waxed Weathered Copper Golem Statue	Statue de golem de cuivre érodé ciré
WAXED_WEATHERED_COPPER_GRATE	Waxed Weathered Copper Grate	Grille en cuivre érodé ciré
WAXED_WEATHERED_COPPER_LANTERN	Waxed Weathered Copper Lantern	Lanterne en cuivre érodé ciré
WAXED_WEATHERED_COPPER_TRAPDOOR	Waxed Weathered Copper Trapdoor	Trappe en cuivre érodé ciré
WAXED_WEATHERED_CUT_COPPER	Waxed Weathered Cut Copper	Cuivre taillé érodé ciré
WAXED_WEATHERED_CUT_COPPER_SLAB	Waxed Weathered Cut Copper Slab	Dalle de cuivre taillé érodé ciré
WAXED_WEATHERED_CUT_COPPER_STAIRS	Waxed Weathered Cut Copper Stairs	Escalier en cuivre taillé érodé ciré
WAXED_WEATHERED_LIGHTNING_ROD	Waxed Weathered Lightning Rod	Paratonnerre érodé ciré
WAYFINDER_ARMOR_TRIM_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
WEATHERED_CHISELED_COPPER	Weathered Chiseled Copper	Cuivre sculpté érodé
WEATHERED_COPPER	Weathered Copper	Cuivre érodé
WEATHERED_COPPER_BARS	Weathered Copper Bars	Barreaux de cuivre érodé
WEATHERED_COPPER_BULB	Weathered Copper Bulb	Ampoule en cuivre érodé
WEATHERED_COPPER_CHAIN	Weathered Copper Chain	Chaîne en cuivre érodé
WEATHERED_COPPER_CHEST	Weathered Copper Chest	Coffre en cuivre érodé
WEATHERED_COPPER_DOOR	Weathered Copper Door	Porte en cuivre érodé
WEATHERED_COPPER_GOLEM_STATUE	Weathered Copper Golem Statue	Statue de golem de cuivre érodé
WEATHERED_COPPER_GRATE	Weathered Copper Grate	Grille en cuivre érodé
WEATHERED_COPPER_LANTERN	Weathered Copper Lantern	Lanterne en cuivre érodé
WEATHERED_COPPER_TRAPDOOR	Weathered Copper Trapdoor	Trappe en cuivre érodé
WEATHERED_CUT_COPPER	Weathered Cut Copper	Cuivre taillé érodé
WEATHERED_CUT_COPPER_SLAB	Weathered Cut Copper Slab	Dalle de cuivre taillé érodé
WEATHERED_CUT_COPPER_STAIRS	Weathered Cut Copper Stairs	Escalier en cuivre taillé érodé
WEATHERED_LIGHTNING_ROD	Weathered Lightning Rod	Paratonnerre érodé
WEEPING_VINES	Weeping Vines	Lianes pleureuses
WEEPING_VINES_PLANT	Weeping Vines Plant	Plante de lianes pleureuses
WET_SPONGE	Wet Sponge	Éponge mouillée
WHEAT	Wheat	Blé
WHEAT_SEEDS	Wheat Seeds	Graines de blé
WHITE_BANNER	White Banner	Bannière blanche
WHITE_BED	White Bed	Lit blanc
WHITE_BUNDLE	White Bundle	Sac blanc
WHITE_CANDLE	White Candle	Bougie blanche
WHITE_CANDLE_CAKE	Cake with White Candle	Gâteau à bougie blanche
WHITE_CARPET	White Carpet	Tapis blanc
WHITE_CONCRETE	White Concrete	Béton blanc
WHITE_CONCRETE_POWDER	White Concrete Powder	Béton blanc en poudre
WHITE_DYE	White Dye	Teinture blanche
WHITE_GLAZED_TERRACOTTA	White Glazed Terracotta	Terre cuite émaillée blanche
WHITE_HARNESS	White Harness	Harnais blanc
WHITE_SHULKER_BOX	White Shulker Box	Boîte de Shulker blanche
WHITE_STAINED_GLASS	White Stained Glass	Verre blanc
WHITE_STAINED_GLASS_PANE	White Stained Glass Pane	Vitre blanche
WHITE_TERRACOTTA	White Terracotta	Terre cuite blanche
WHITE_TULIP	White Tulip	Tulipe blanche
WHITE_WOOL	White Wool	Laine blanche
WILDFLOWERS	Wildflowers	Fleurs sauvages
WILD_ARMOR_TRIM_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
WIND_CHARGE	Wind Charge	Charge de vent
WITCH_SPAWN_EGG	Witch Spawn Egg	Oeuf d'apparition de sorcière
WITHER_ROSE	Wither Rose	Rose de Wither
WITHER_SKELETON_SKULL	Wither Skeleton Skull	Crâne de Wither squelette
WITHER_SKELETON_SPAWN_EGG	Wither Skeleton Spawn Egg	Oeuf d'apparition de Wither squelette
WITHER_SKELETON_WALL_SKULL	Wither Skeleton Wall Skull	Crâne de Wither squelette mural
WITHER_SPAWN_EGG	Wither Spawn Egg	Oeuf d'apparition de Wither
WOLF_ARMOR	Wolf Armor	Armure pour loup
WOLF_SPAWN_EGG	Wolf Spawn Egg	Oeuf d'apparition de loup
WOODEN_AXE	Wooden Axe	Hache en bois
WOODEN_HOE	Wooden Hoe	Houe en bois
WOODEN_PICKAXE	Wooden Pickaxe	Pioche en bois
WOODEN_SHOVEL	Wooden Shovel	Pelle en bois
WOODEN_SPEAR	Wooden Spear	Lance en bois
WOODEN_SWORD	Wooden Sword	Épée en bois
WRITABLE_BOOK	Book and Quill	Livre et plume
WRITTEN_BOOK	Written Book	Livre écrit
YELLOW_BANNER	Yellow Banner	Bannière jaune
YELLOW_BED	Yellow Bed	Lit jaune
YELLOW_BUNDLE	Yellow Bundle	Sac jaune
YELLOW_CANDLE	Yellow Candle	Bougie jaune
YELLOW_CANDLE_CAKE	Cake with Yellow Candle	Gâteau à bougie jaune
YELLOW_CARPET	Yellow Carpet	Tapis jaune
YELLOW_CONCRETE	Yellow Concrete	Béton jaune
YELLOW_CONCRETE_POWDER	Yellow Concrete Powder	Béton jaune en poudre
YELLOW_DYE	Yellow Dye	Teinture jaune
YELLOW_GLAZED_TERRACOTTA	Yellow Glazed Terracotta	Terre cuite émaillée jaune
YELLOW_HARNESS	Yellow Harness	Harnais jaune
YELLOW_SHULKER_BOX	Yellow Shulker Box	Boîte de Shulker jaune
YELLOW_STAINED_GLASS	Yellow Stained Glass	Verre jaune
YELLOW_STAINED_GLASS_PANE	Yellow Stained Glass Pane	Vitre jaune
YELLOW_TERRACOTTA	Yellow Terracotta	Terre cuite jaune
YELLOW_WOOL	Yellow Wool	Laine jaune
ZOGLIN_SPAWN_EGG	Zoglin Spawn Egg	Oeuf d'apparition de Zoglin
ZOMBIE_HEAD	Zombie Head	Tête de zombie
ZOMBIE_HORSE_SPAWN_EGG	Zombie Horse Spawn Egg	Oeuf d'apparition de cheval-zombie
ZOMBIE_NAUTILUS_SPAWN_EGG	Zombie Nautilus Spawn Egg	Oeuf d'apparition de nautile-zombie
ZOMBIE_SPAWN_EGG	Zombie Spawn Egg	Oeuf d'apparition de zombie
ZOMBIE_VILLAGER_SPAWN_EGG	Zombie Villager Spawn Egg	Oeuf d'apparition de zombie-villageois
ZOMBIE_WALL_HEAD	Zombie Wall Head	Tête de zombie murale
ZOMBIFIED_PIGLIN_SPAWN_EGG	Zombified Piglin Spawn Egg	Oeuf d'apparition de Piglin zombifié
